epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,1524.65,0.89666,1.53708,1.91991,1.06579,0.3136,0.18281,0.13175,0.09411,0.31631,0.18215,0.13217,0.08792,0.97515,1.91086,2.53851,1.18115,0.0089704,0.0089704,0.0089704
54,1552.45,0.88539,1.51547,1.884,1.06095,0.31907,0.17862,0.12778,0.0922,0.31918,0.17633,0.12719,0.08448,0.94692,1.86394,2.5209,1.16333,0.0089506,0.0089506,0.0089506
55,1579.57,0.89763,1.5196,1.85928,1.06848,0.3015,0.16732,0.13048,0.09468,0.30185,0.16672,0.13006,0.08879,0.92575,1.82211,2.49788,1.15453,0.0089308,0.0089308,0.0089308
56,1606.96,0.88133,1.50342,1.82212,1.05674,0.33262,0.18383,0.14701,0.10814,0.33469,0.18432,0.14778,0.10088,0.92616,1.77971,2.35498,1.1428,0.008911,0.008911,0.008911
57,1633.49,0.88043,1.51542,1.88892,1.07037,0.3131,0.18182,0.13472,0.09602,0.31315,0.18315,0.13516,0.09024,0.95245,1.84255,2.42786,1.16786,0.0088912,0.0088912,0.0088912
58,1660.39,0.88547,1.50538,1.85604,1.06187,0.30381,0.18902,0.13409,0.09745,0.30215,0.1904,0.13421,0.092,0.93396,1.82204,2.57447,1.14867,0.0088714,0.0088714,0.0088714
59,1686.74,0.86727,1.47377,1.82796,1.05698,0.31343,0.15953,0.11703,0.08207,0.31466,0.15919,0.11767,0.07647,0.97821,1.9258,2.71597,1.19055,0.0088516,0.0088516,0.0088516
60,1713.11,0.88281,1.49821,1.80361,1.05761,0.32791,0.18114,0.13345,0.09422,0.32928,0.18226,0.13429,0.08723,0.94556,1.86174,2.44175,1.15169,0.0088318,0.0088318,0.0088318
61,1740.59,0.90425,1.54243,1.76573,1.05721,0.32067,0.20524,0.14318,0.10513,0.32072,0.20487,0.14374,0.09889,0.89327,1.72036,2.33266,1.11937,0.008812,0.008812,0.008812
62,1767.05,0.88221,1.49978,1.80785,1.05265,0.3019,0.17254,0.11969,0.08495,0.30758,0.16944,0.12114,0.0789,0.9499,1.87222,2.51098,1.16352,0.0087922,0.0087922,0.0087922
63,1793.91,0.88018,1.50269,1.82134,1.05988,0.30729,0.18363,0.14137,0.1045,0.30795,0.1853,0.14191,0.09748,0.8984,1.78978,2.35489,1.12831,0.0087724,0.0087724,0.0087724
64,1820.69,0.86128,1.47654,1.78089,1.05325,0.28857,0.18534,0.13078,0.09514,0.28959,0.18532,0.13091,0.089,0.92852,1.77016,2.53911,1.15456,0.0087526,0.0087526,0.0087526
65,1847.21,0.87405,1.46539,1.77768,1.05287,0.28862,0.16886,0.1277,0.09194,0.30051,0.16888,0.1286,0.08645,0.93552,1.79968,2.58269,1.15384,0.0087328,0.0087328,0.0087328
66,1873.67,0.86221,1.47309,1.80291,1.05613,0.30868,0.18313,0.13838,0.0992,0.31147,0.18401,0.13953,0.09313,0.92283,1.78913,2.45588,1.14715,0.008713,0.008713,0.008713
67,1899.76,0.86237,1.47574,1.74019,1.05106,0.32389,0.193,0.14478,0.10442,0.32454,0.19469,0.14512,0.09719,0.92836,1.91152,2.50025,1.15306,0.0086932,0.0086932,0.0086932
68,1927.09,0.8706,1.47887,1.7379,1.0512,0.28335,0.19528,0.13247,0.09588,0.28499,0.19522,0.13381,0.0893,0.92498,1.80446,2.45856,1.13573,0.0086734,0.0086734,0.0086734
69,1953.69,0.86168,1.44972,1.72696,1.0495,0.34566,0.17449,0.136,0.09946,0.35015,0.17597,0.13716,0.09246,0.92656,1.82923,2.49237,1.14336,0.0086536,0.0086536,0.0086536
70,1981.07,0.85215,1.44392,1.71462,1.04716,0.28868,0.18482,0.12965,0.09301,0.29293,0.18499,0.13159,0.08773,0.92852,1.83012,2.46224,1.1444,0.0086338,0.0086338,0.0086338
71,2007.88,0.87861,1.46756,1.72233,1.04681,0.2984,0.1971,0.14321,0.10364,0.30178,0.19566,0.14411,0.09668,0.90624,1.77888,2.36615,1.13429,0.008614,0.008614,0.008614
72,2034.42,0.86662,1.4651,1.70026,1.04291,0.30693,0.19438,0.14687,0.1072,0.3077,0.19587,0.14736,0.10121,0.92375,1.79544,2.42491,1.14489,0.0085942,0.0085942,0.0085942
73,2061.4,0.87013,1.45393,1.68672,1.04026,0.32161,0.17595,0.13286,0.09789,0.3235,0.17705,0.13357,0.09231,0.91818,1.80646,2.52955,1.142,0.0085744,0.0085744,0.0085744
74,2087.78,0.85604,1.4429,1.66629,1.04162,0.32033,0.18862,0.14685,0.10595,0.32564,0.1894,0.14828,0.10045,0.94729,1.7992,2.377,1.16123,0.0085546,0.0085546,0.0085546
75,2113.95,0.86491,1.44757,1.66259,1.04584,0.30251,0.19573,0.14467,0.10422,0.3008,0.19627,0.14473,0.09681,0.90652,1.8038,2.38521,1.13843,0.0085348,0.0085348,0.0085348
76,2140.33,0.85849,1.429,1.70448,1.04134,0.29253,0.18782,0.14492,0.10373,0.2944,0.18612,0.14521,0.09685,0.92537,1.82761,2.39562,1.15435,0.008515,0.008515,0.008515
77,2166.58,0.84041,1.40514,1.66803,1.04212,0.32683,0.2031,0.14676,0.10882,0.32909,0.20427,0.14789,0.10168,0.91332,1.79131,2.44715,1.13625,0.0084952,0.0084952,0.0084952
78,2193.12,0.83811,1.39957,1.66513,1.03807,0.30364,0.18936,0.14169,0.10266,0.30402,0.18964,0.14211,0.09683,0.92149,1.83039,2.45279,1.14665,0.0084754,0.0084754,0.0084754
79,2219.43,0.84949,1.42461,1.6704,1.04595,0.31717,0.19149,0.14284,0.10235,0.32259,0.19402,0.14459,0.096,0.95546,1.82849,2.41092,1.16975,0.0084556,0.0084556,0.0084556
80,2245.85,0.86157,1.44079,1.64003,1.04225,0.33895,0.18707,0.14512,0.10564,0.34322,0.18436,0.14574,0.09929,0.91999,1.77375,2.40527,1.1363,0.0084358,0.0084358,0.0084358
81,2272.33,0.85671,1.44206,1.64277,1.04308,0.31189,0.1908,0.14252,0.10256,0.31802,0.18771,0.14293,0.09482,0.93005,1.85035,2.50224,1.14287,0.008416,0.008416,0.008416
82,2298.85,0.86176,1.4453,1.62152,1.04058,0.34935,0.20263,0.15763,0.11457,0.35422,0.20159,0.15799,0.10752,0.89842,1.7401,2.31225,1.12851,0.0083962,0.0083962,0.0083962
83,2324.94,0.82983,1.38751,1.63317,1.03581,0.27464,0.18379,0.13135,0.09232,0.2779,0.18158,0.13217,0.08648,0.95058,1.88395,2.63168,1.16978,0.0083764,0.0083764,0.0083764
84,2351.61,0.86395,1.45179,1.63078,1.04521,0.32708,0.1869,0.14838,0.10835,0.32967,0.18429,0.14854,0.10203,0.89864,1.74394,2.31694,1.13583,0.0083566,0.0083566,0.0083566
85,2378.01,0.84459,1.42693,1.64575,1.0382,0.28482,0.19592,0.14993,0.10991,0.28707,0.19765,0.15128,0.10345,0.90456,1.78308,2.37084,1.13228,0.0083368,0.0083368,0.0083368
86,2404.19,0.85111,1.40395,1.58336,1.03837,0.29936,0.17996,0.14287,0.10234,0.30316,0.17838,0.14366,0.09505,0.92915,1.84656,2.45482,1.15771,0.008317,0.008317,0.008317
87,2430.79,0.84351,1.43746,1.6195,1.03811,0.3322,0.16726,0.13872,0.10064,0.33085,0.16725,0.13902,0.09448,0.93598,1.86573,2.57623,1.15826,0.0082972,0.0082972,0.0082972
88,2457.03,0.85707,1.43557,1.61108,1.04194,0.30973,0.19492,0.15187,0.10959,0.3106,0.19587,0.15302,0.1038,0.92145,1.81098,2.40255,1.15412,0.0082774,0.0082774,0.0082774
89,2483.33,0.86195,1.4445,1.58158,1.03467,0.29977,0.1955,0.1445,0.10463,0.30206,0.19309,0.14513,0.09879,0.90723,1.80812,2.46475,1.13522,0.0082576,0.0082576,0.0082576
90,2509.49,0.85035,1.4204,1.5801,1.03537,0.2975,0.20029,0.15525,0.11265,0.299,0.20053,0.15612,0.10691,0.92326,1.80373,2.38978,1.15247,0.0082378,0.0082378,0.0082378
91,2535.57,0.84822,1.42178,1.55782,1.02881,0.3019,0.1976,0.14924,0.10611,0.30731,0.1993,0.15222,0.10136,0.92249,1.76047,2.43195,1.14734,0.008218,0.008218,0.008218
92,2562.29,0.83884,1.39774,1.58429,1.03563,0.31793,0.17168,0.14429,0.10461,0.32173,0.17235,0.14541,0.09792,0.91136,1.83611,2.5093,1.15018,0.0081982,0.0081982,0.0081982
93,2588.79,0.84175,1.38386,1.53154,1.02807,0.31367,0.20432,0.15208,0.1117,0.31588,0.20368,0.15341,0.1046,0.88203,1.77199,2.40159,1.12126,0.0081784,0.0081784,0.0081784
